ascent_id,user_id,route_id,ascent_date
0,20950,19812,2008-08-06
1,28837,48871,2018-12-29
2,2180,22124,2014-04-14
3,60919,40427,2014-08-16
4,62477,53403,2015-12-31
5,43920,2528,2020-07-21
6,66847,17230,2014-07-08
7,20776,31475,2012-07-14
8,4119,33189,2017-10-28
9,60756,31185,2019-07-10
10,2111,36031,2023-11-04
11,48952,6584,2012-06-09
12,51811,24713,2007-07-07
13,21368,43400,2020-10-15
14,6520,10751,2011-08-17
15,28655,5006,2021-05-06
16,15653,38083,2018-09-08
17,34672,38815,2018-06-19
18,33314,32876,2001-05-02
19,12187,43887,2014-01-27
20,685,35149,2012-07-08
21,7427,48255,2008-01-07
22,604,19196,2006-09-23
23,9060,13252,2003-02-25
24,23333,51714,2017-11-24
25,442,25258,2021-05-17
26,27349,51879,2015-05-21
27,61373,53901,2017-10-06
28,30560,16530,2007-05-17
29,20075,5137,2015-11-15
30,37477,4607,2016-11-15
31,17252,11873,2001-07-01
32,10482,54505,2022-03-02
33,63809,30339,2012-04-27
34,18175,44310,2012-07-04
35,4497,7771,2021-05-15
36,13923,20143,2008-08-16
37,13886,32424,2018-12-15
38,14954,36498,2023-08-25
39,19764,21594,2006-09-16
40,46675,48427,2009-11-07
41,16921,42131,2005-08-09
42,33287,52908,2010-04-22
43,15405,35727,2023-05-22
44,35332,53443,2019-07-08
45,45004,51313,2011-06-08
46,2980,46722,2012-07-23
47,20751,9250,2000-07-30
48,27565,48644,2022-10-06
49,53783,13295,2008-06-16
50,4727,55341,2003-04-01
51,26089,49558,2013-10-19
52,17822,44321,2012-06-12
53,53057,38194,2019-07-01
54,66155,40869,2017-09-14
55,30277,21746,2023-01-13
56,66279,22964,2011-03-10
57,7720,40242,2022-01-15
58,7984,7294,2005-06-16
59,12876,22910,2023-07-25
60,29327,8011,2017-09-03
61,14966,7321,2023-02-09
62,33754,49468,2003-04-28
63,48762,37429,2008-11-05
64,25628,30881,2001-04-28
65,4473,2146,2014-08-21
66,54238,33202,2003-05-09
67,61371,55761,2002-12-03
68,30980,1280,2015-01-25
69,34396,9675,2014-01-01
70,8089,25918,2019-08-03
71,55446,11307,2000-08-16
72,60660,14454,2008-03-22
73,22169,41910,2010-02-10
74,34070,47733,2003-10-18
75,39241,35484,2006-02-15
76,35572,52720,2023-06-15
77,32021,29012,2009-04-21
78,2310,18255,2014-09-23
79,40008,25859,2011-05-09
80,24951,49044,2014-12-10
81,1518,50695,2014-01-25
82,25115,27664,2007-09-04
83,7023,37454,2003-11-16
84,38739,9454,2004-06-18
85,25827,27555,2012-05-09
86,28498,52094,2018-04-06
87,7278,23528,2020-01-23
88,29381,50793,2007-03-21
89,3105,25815,2019-12-16
90,39,7384,2005-05-13
91,56219,18841,2015-10-22
92,13328,45927,2023-10-03
93,40382,2793,2020-03-20
94,13513,42248,2021-06-24
95,16607,21703,2003-07-26
96,56066,43354,2019-03-28
97,17626,2481,2016-01-16
98,59155,19633,2015-03-08
99,41549,19559,2018-09-04
100,54260,17607,2004-03-16
101,12734,4209,2023-09-09
102,11193,13141,2011-06-15
103,63990,1251,2005-07-18
104,21508,45804,2016-04-05
105,28414,54380,2004-02-05
106,24264,16543,2012-12-02
107,7172,40817,2011-06-03
