user_id,country,sex,height,weight,birthdate
1,SWE,0,177,73,1982-08-26
3,SWE,0,180,78,1979-12-22
4,SWE,1,165,58,1990-09-19
10,SWE,0,167,63,1971-09-20
16,NOR,0,177,68,1979-05-30
17,SWE,0,193,78,1981-12-03
19,BEL,0,180,68,1987-06-06
28,CAN,0,180,68,1978-12-12
34,other,0,180,68,2002-01-25
38,GBR,0,178,73,1988-11-29
39,NLD,0,178,78,1978-06-27
47,SWE,0,188,83,1981-03-09
48,SWE,0,178,73,1984-01-24
51,SWE,0,181,68,1987-09-04
52,SWE,0,182,68,1988-05-08
54,SWE,0,183,73,1983-05-16
69,USA,0,183,73,1976-06-07
79,DEU,0,188,83,1980-07-27
80,NOR,0,183,73,1982-09-20
86,SWE,0,186,83,1978-11-02
89,ITA,0,172,63,1977-12-06
98,FRA,0,183,78,1981-08-10
111,SWE,0,187,78,1979-08-25
118,USA,0,178,63,1987-07-22
121,POL,0,168,68,1975-04-11
129,SWE,0,180,73,1983-08-24
137,NOR,0,184,78,1981-04-26
148,ZAF,0,194,78,1975-12-28
151,FRA,0,180,73,1975-06-15
155,GBR,0,179,68,1981-07-25
158,SWE,0,187,73,1984-08-26
164,POL,0,173,73,1978-06-13
165,PRT,0,172,58,1981-09-24
166,other,0,165,63,1981-10-26
178,NOR,0,170,68,1976-06-30
190,NOR,0,177,78,1988-05-26
206,SWE,0,195,83,1977-02-27
207,other,0,165,63,1984-06-15
212,AUS,0,185,68,1979-02-12
213,DEU,0,193,83,1986-07-18
215,USA,0,174,73,1991-07-01
218,SWE,0,178,68,1979-09-12
220,SWE,0,191,88,1987-05-11
228,CZE,0,178,63,1983-05-29
235,FRA,0,184,68,1979-09-23
238,FRA,0,180,73,1985-07-18
240,FRA,0,173,63,1972-01-19
242,other,0,176,63,1985-07-26
264,SWE,0,186,63,1992-01-24
276,BEL,0,175,63,1986-10-14
281,AUT,0,175,68,1983-07-10
308,ESP,0,180,63,1987-12-07
311,CAN,0,175,63,1994-07-02
312,USA,0,180,73,1978-04-22
322,other,0,165,43,1982-01-19
350,CAN,0,173,63,1979-07-26
354,SWE,0,179,73,1986-05-07
355,GBR,0,165,58,1982-09-09
361,PRT,0,167,73,1989-01-12
362,NLD,0,170,68,1976-11-08
366,SWE,0,185,83,1981-01-17
382,CAN,0,182,78,1984-10-12
384,AUT,0,183,78,1983-04-06
394,SWE,0,178,63,1988-03-02
395,GBR,0,170,68,1984-02-26
396,SWE,0,174,63,1980-05-09
399,SWE,0,178,63,1985-12-24
403,POL,0,182,78,1979-11-27
405,SWE,0,182,73,1988-04-04
408,PRT,0,172,63,1991-03-28
423,FRA,0,180,73,1974-02-22
439,USA,0,181,78,1979-09-04
441,ITA,0,170,68,1979-12-11
442,SWE,0,175,68,1991-04-25
443,ZAF,0,174,63,1984-07-11
444,USA,0,166,73,1987-11-01
446,USA,0,185,78,1979-07-23
452,USA,0,178,68,1992-05-14
459,NLD,0,180,73,1979-07-05
462,FRA,0,176,68,1974-06-04
473,CAN,0,190,73,1986-08-26
476,USA,0,173,68,1986-11-22
478,FRA,0,180,73,1977-01-30
479,BEL,0,173,68,1977-01-28
483,BEL,0,178,63,1980-06-26
486,ITA,0,170,58,1993-12-24
488,POL,0,170,68,1979-07-27
489,POL,0,171,63,1981-05-16
490,SWE,0,173,68,1980-07-20
493,NLD,0,180,78,1977-05-19
515,USA,0,196,73,1989-04-21
523,SWE,0,179,68,1978-10-08
526,FRA,0,176,63,1981-04-19
531,FRA,0,180,68,1990-01-12
532,BEL,0,186,78,1979-03-17
533,HRV,0,181,73,1964-09-24
536,HRV,0,173,63,1981-07-19
554,NOR,0,190,68,1990-10-21
557,SWE,0,176,68,1985-05-26
558,SWE,0,170,68,1977-02-11
562,ITA,0,163,53,1984-03-11
565,USA,0,178,68,1978-05-02
576,CAN,0,167,58,1988-06-21
583,NOR,0,183,78,1978-09-06
592,AUT,0,168,53,1990-08-30
594,CAN,0,172,73,1988-11-07
602,ZAF,0,180,73,1981-01-14
604,SWE,0,188,83,1980-05-03
622,ZAF,0,178,68,1987-08-12
623,FRA,0,173,68,1978-06-07
626,SWE,0,179,78,1987-09-02
633,DEU,0,183,68,1984-11-08
639,SWE,0,186,73,1975-10-15
642,SWE,0,176,63,1983-03-22
644,SWE,0,175,73,1978-03-25
647,SWE,0,187,83,1984-07-11
649,BEL,0,181,73,1983-10-21
654,CAN,0,171,63,1973-05-06
659,other,0,182,73,1979-02-08
660,SWE,0,178,68,1977-09-11
662,USA,0,177,73,1982-07-01
667,USA,0,168,53,1992-01-04
669,NLD,0,186,73,1979-08-27
673,SWE,0,170,63,1984-09-13
676,USA,0,182,83,1989-03-26
678,SWE,0,186,83,1970-06-30
679,SWE,0,173,63,1986-01-29
685,USA,0,160,68,1982-01-20
699,SWE,0,186,73,1977-12-16
707,ZAF,0,170,58,1987-09-29
710,ITA,0,162,53,1979-12-04
711,SWE,0,167,63,1980-05-05
714,ITA,0,173,63,1982-10-05
720,SWE,0,174,73,1978-06-24
722,ZAF,0,186,73,1986-10-09
727,CAN,0,175,68,1972-11-01
747,NOR,0,184,78,1979-10-13
757,SWE,0,180,68,1981-04-21
764,ITA,0,173,58,1977-10-07
766,GBR,0,180,73,1981-12-24
775,SWE,0,189,78,1983-01-09
784,DEU,0,176,68,1979-12-18
785,MEX,0,176,88,1977-08-01
786,AUT,0,173,73,1982-02-26
787,MEX,0,186,73,1977-03-25
803,USA,0,165,63,1980-06-05
808,other,0,172,63,1959-09-28
811,DEU,0,173,63,1979-06-01
812,CAN,0,175,68,1980-09-24
815,ITA,0,192,83,2008-09-20
816,FRA,0,178,68,1985-01-19
821,ESP,0,170,68,1986-11-13
823,USA,0,178,73,1988-07-31
830,GBR,0,178,63,1983-07-28
841,BEL,0,175,73,1988-06-26
848,NLD,0,186,78,1978-04-26
851,other,0,175,63,1979-01-24
853,BRA,0,184,63,1981-07-05
863,CHE,0,175,68,1988-09-03
865,other,0,176,63,1983-02-27
886,SWE,1,156,48,1979-08-02
895,SWE,0,182,78,1979-05-03
899,USA,0,185,78,1976-02-18
902,AUT,0,166,63,1986-05-18
925,USA,0,178,63,1988-10-13
927,other,0,181,73,1986-05-03
938,SWE,0,190,68,1975-03-14
944,CHE,0,167,78,1977-06-03
951,other,0,182,83,1988-08-07
959,SWE,0,188,73,1984-03-22
963,SVN,0,172,73,1986-04-29
967,ZAF,0,193,73,1983-10-21
973,ZAF,0,185,73,1986-06-19
977,ZAF,0,190,83,1984-11-01
978,ZAF,0,180,73,1987-12-02
980,DEU,0,170,68,1979-03-02
987,other,0,170,58,1983-05-08
1000,HRV,0,174,58,1993-12-04
1001,SWE,1,167,58,1988-12-23
1003,DEU,0,171,63,1980-01-08
1004,NLD,0,183,68,1983-08-17
1013,other,0,181,63,1987-06-05
1016,ZAF,0,171,68,1990-03-31
1024,SWE,0,178,68,1976-07-07
1034,USA,0,168,58,1989-10-07
1039,GBR,0,175,58,1990-06-02
1045,other,0,171,58,1979-08-30
1051,ESP,0,159,48,1987-01-28
1053,SWE,0,179,88,1976-09-13
1054,ITA,0,176,63,1986-06-21
1058,ZAF,0,180,78,1984-02-24
1066,SWE,0,175,63,1983-01-24
1067,SWE,0,169,63,1986-01-03
1082,NLD,0,186,73,1990-02-18
1095,POL,0,174,78,1976-06-08
1096,POL,0,185,68,1990-12-29
1099,BEL,0,169,63,1971-07-16
1100,SWE,1,168,63,1981-12-20
1112,DNK,0,186,73,1983-12-09
1117,HRV,1,160,53,1982-06-27
1118,AUT,0,179,63,1979-02-09
1134,other,0,178,73,1982-07-14
1146,USA,0,175,68,1970-06-27
1160,FRA,0,175,63,1981-03-24
1166,other,0,183,78,1981-06-22
1185,FRA,0,170,63,1984-07-09
1193,GBR,0,178,73,1984-06-17
1197,ESP,0,180,58,1987-10-23
1210,FRA,0,164,48,1985-06-13
1225,POL,0,169,78,1975-01-25
1229,SWE,0,195,83,1977-02-11
1230,POL,1,170,53,1984-10-18
1233,FRA,0,180,78,1985-04-24
1243,NLD,0,180,83,1984-11-26
1246,ZAF,0,160,53,1993-01-03
1255,BEL,0,178,63,1986-08-10
1257,ITA,0,175,53,1980-04-23
1263,ESP,0,174,68,1986-07-10
1264,SWE,0,190,88,1981-05-04
1266,USA,0,170,63,1982-05-31
1273,SWE,0,172,73,1974-03-31
1277,BEL,0,176,63,1983-04-23
1281,ITA,0,162,53,1973-10-08
1289,SVN,0,167,58,1987-04-05
1292,POL,0,184,73,1979-11-22
1298,ESP,0,172,68,1980-11-10
1305,CAN,0,181,73,1987-09-12
1311,DEU,0,177,78,1984-07-01
1315,USA,1,150,48,1981-10-24
1320,ITA,0,160,58,1974-09-10
1323,USA,0,175,73,1982-10-12
1328,POL,0,172,68,1977-05-20
1331,PRT,0,182,73,1983-08-23
1337,ITA,0,165,63,1985-05-01
1340,AUS,0,179,68,1988-12-14
1351,ZAF,0,185,68,1986-09-12
1353,AUS,1,161,53,1989-09-09
1364,CZE,0,180,78,1973-07-20
1366,DEU,0,175,68,1984-04-21
1371,SWE,0,173,68,1986-01-10
1374,AUS,0,167,68,1993-02-26
1380,GBR,0,173,63,1983-10-09
1382,BEL,1,145,43,1995-12-04
1392,BEL,0,180,73,1986-10-29
1406,SWE,0,176,68,1991-06-30
1417,AUS,0,185,78,1979-10-01
1420,ESP,0,174,63,1986-08-31
1435,other,0,173,63,1983-06-05
1446,ZAF,0,187,83,1977-06-08
1451,NLD,0,183,73,1989-10-19
1452,AUS,0,186,68,1991-10-24
1458,ESP,0,181,78,1982-02-15
1459,AUS,0,172,63,1981-12-09
1465,ITA,0,175,68,1966-01-29
1469,other,0,192,88,1981-06-24
1470,FRA,0,178,68,1988-10-09
1476,CZE,0,185,68,1999-12-01
1479,NLD,0,183,68,1979-09-23
1487,ESP,0,172,63,1982-05-09
1490,USA,1,160,58,1980-09-01
1492,DNK,0,180,78,1978-09-12
1498,POL,0,185,68,1987-04-28
1500,other,0,177,63,1979-12-13
1503,CHE,0,187,83,1987-11-09
1505,SWE,0,186,78,1981-11-24
1506,ITA,0,179,63,1991-06-01
1518,FRA,0,187,73,1977-02-21
1519,DNK,0,184,73,1990-02-01
1522,USA,0,158,93,1976-05-06
1524,SWE,0,171,68,1977-03-06
1528,HRV,0,183,73,1981-02-08
1533,ESP,0,175,63,1982-07-19
1538,FRA,1,179,63,1987-03-09
1543,CAN,0,175,88,1981-12-11
1548,USA,1,156,48,1992-03-16
1551,AUS,0,178,78,1991-09-06
1585,USA,0,177,73,1978-09-25
1586,DEU,1,168,53,1974-06-08
1588,USA,0,173,68,1984-12-22
1591,SWE,0,190,73,1979-07-14
1592,AUS,0,185,63,1992-03-20
1600,SWE,0,190,83,1979-03-11
1608,DEU,0,183,73,1990-11-20
1609,NLD,0,190,78,2008-01-27
1614,other,0,182,78,1991-11-12
1626,AUS,0,174,63,1991-01-05
1627,SWE,0,178,78,1971-02-06
1628,FRA,1,162,48,1979-06-27
1636,SWE,0,178,68,1988-11-09
1639,SWE,0,179,73,1988-04-07
1641,SWE,0,183,73,1981-04-11
1644,other,0,185,73,1983-12-03
1649,PRT,0,169,63,1983-11-22
1654,SWE,0,183,73,1975-01-15
1658,other,0,165,53,1981-01-12
1660,AUT,0,181,68,1988-02-19
1668,other,0,178,68,1988-08-18
1671,RUS,0,168,58,1982-05-28
1680,NLD,0,180,63,1986-02-25
1688,RUS,0,175,68,1987-08-03
1690,ESP,0,173,63,1980-05-24
1698,ITA,0,175,68,1981-06-04
1707,NLD,0,194,73,1982-05-22
1714,AUS,0,187,83,1980-02-20
1720,CHE,0,180,73,1982-12-19
1721,DEU,0,184,68,1991-06-16
1722,AUS,1,167,63,1983-01-05
1724,other,0,155,53,1977-02-26
1726,FRA,0,172,63,1992-01-27
1735,FRA,0,183,73,1989-08-02
1736,HRV,0,175,68,1982-05-04
1764,ESP,0,171,63,1979-04-28
1790,USA,0,170,73,1983-04-10
1802,SWE,0,170,58,1980-02-15
1806,DEU,0,175,68,1989-01-03
1817,other,0,169,58,1979-04-24
1821,DNK,0,180,68,1981-01-26
1822,DNK,0,175,63,1973-11-14
1827,CAN,0,187,83,1985-02-09
1830,other,0,190,83,1988-05-15
1831,GBR,0,175,83,1982-11-15
1834,ITA,0,176,68,1982-02-25
1836,CAN,0,181,78,1986-08-01
1844,USA,0,178,68,1973-11-17
1845,SWE,0,180,73,1978-05-13
1850,BRA,0,178,78,1985-08-04
1855,SWE,0,177,63,1982-01-06
1856,SWE,0,170,68,1979-03-31
1860,DEU,0,173,68,1991-04-06
1861,DNK,0,180,68,1982-10-16
1862,SWE,0,184,88,1983-11-11
1863,SWE,0,173,63,1982-09-20
1866,SWE,0,167,63,1987-11-17
1867,AUS,0,176,68,1988-03-09
1874,SWE,0,186,83,1983-02-16
1875,SWE,0,179,73,1983-07-20
1878,NLD,0,180,73,1983-12-06
1882,ITA,0,179,68,1982-08-18
1894,SWE,1,155,53,1988-02-14
1919,SVN,1,164,58,1975-09-16
1920,SWE,0,180,93,1980-09-29
1921,NLD,0,180,83,1973-12-10
1934,AUT,0,172,68,1977-03-01
1935,ESP,0,171,63,1981-12-19
1946,BRA,0,183,73,1984-08-15
1949,SWE,0,180,68,1991-05-25
1967,SWE,0,183,83,1977-12-04
1973,NOR,0,182,73,1993-03-06
1974,USA,0,177,68,1989-06-03
1978,CAN,0,175,68,1984-11-15
1984,NLD,0,178,68,1977-12-25
1989,ITA,0,181,68,1987-10-06
1994,AUS,0,175,73,1978-04-28
2010,AUS,0,175,78,1976-12-18
2016,FRA,0,182,68,1991-10-28
2020,GBR,0,172,73,1982-10-08
2024,AUS,0,180,73,1982-04-02
2025,AUS,1,159,53,1984-11-03
2030,ITA,0,174,58,1985-07-07
2034,USA,0,172,78,1983-02-07
2038,ESP,0,172,63,1979-04-08
2043,ESP,0,172,63,1985-12-25
2047,POL,0,184,88,1981-06-20
2052,ITA,0,167,58,1989-05-09
2058,ZAF,0,184,83,1980-12-05
2059,ITA,1,172,53,1983-08-13
2063,ZAF,0,175,73,1991-01-29
2078,BEL,1,162,53,1990-06-26
2079,BEL,0,175,73,1987-09-21
2089,ITA,0,190,78,1984-03-13
2093,SWE,0,177,73,1977-09-13
2095,AUS,0,176,73,1982-08-12
2101,DEU,0,180,73,1977-10-03
2111,ESP,1,158,58,1982-01-21
2122,BRA,0,174,73,1985-09-16
2130,DNK,0,183,73,1978-07-17
2132,AUT,0,174,68,1990-12-07
2138,ZAF,0,165,68,1991-11-05
2159,ITA,1,162,48,1980-12-06
2161,FRA,0,173,63,1985-02-25
2163,FRA,0,183,73,1989-09-10
2170,SWE,0,177,73,1972-02-12
2174,FIN,0,186,73,1980-04-03
2180,FRA,0,174,68,1985-01-28
2181,FRA,0,185,68,1989-07-15
2187,DEU,0,195,83,1966-02-27
2190,SWE,1,158,48,1974-09-05
2200,NOR,0,193,83,1981-03-23
2202,AUS,0,188,88,1990-08-30
2210,ITA,0,170,63,1978-12-24
2213,NOR,0,173,68,1994-02-09
2214,BRA,1,161,53,1989-11-15
2236,AUS,0,178,73,1976-09-10
2241,AUS,0,176,78,1982-12-09
2246,SWE,0,178,73,1977-12-06
2247,SWE,1,152,48,1990-03-05
2254,ITA,0,164,58,1989-02-23
2255,SWE,0,184,73,1982-11-16
2256,DNK,0,183,78,1987-12-05
2258,FRA,0,174,63,1973-04-13
2260,DNK,0,184,83,1983-06-29
2268,SWE,0,190,93,1983-11-25
2270,DNK,0,186,68,1989-08-08
2272,NOR,0,184,83,1978-04-30
2274,USA,0,184,63,1991-11-24
2289,DNK,0,177,63,1987-06-06
2297,ESP,1,163,48,1984-02-08
2308,FRA,0,166,63,1988-06-17
2310,SWE,0,174,63,1977-06-19
2311,BRA,0,183,73,1980-12-19
2313,DNK,0,180,68,1982-03-25
2314,DEU,0,184,73,1974-09-17
2315,CHE,1,168,53,1982-10-08
2318,NLD,0,180,73,1982-05-25
2319,SWE,0,181,83,1978-07-06
2324,USA,0,185,83,1985-12-26
2327,GBR,0,169,68,1989-07-27
2328,AUS,0,170,58,1989-02-11
2332,SWE,0,183,78,1988-06-04
2335,SWE,0,178,73,1977-06-01
2338,SWE,0,195,88,1980-08-19
2346,SWE,0,175,63,1976-09-18
2351,BEL,0,181,68,1986-10-11
2352,CAN,0,178,78,1979-06-20
2356,CAN,1,162,58,1981-01-27
2357,PRT,0,175,68,1984-02-04
2359,NOR,0,183,83,1985-05-20
2363,other,0,176,73,1975-11-10
2367,ITA,0,175,68,1989-12-15
2368,ESP,0,172,68,1979-01-25
2378,HRV,0,178,63,1988-03-22
2379,SWE,0,180,73,1989-04-25
2391,POL,0,175,73,1959-11-09
2396,NLD,0,200,83,1969-07-10
2398,SWE,0,173,68,1986-04-16
2399,CHE,0,176,83,1982-09-27
2408,ITA,0,175,63,1978-03-26
2411,ITA,0,183,83,1983-12-04
2412,FRA,0,174,68,1976-01-01
2414,GBR,0,176,63,1985-08-31
2420,FIN,0,178,68,1983-03-02
2443,POL,0,165,68,1983-06-26
2444,other,0,165,58,1982-09-22
2446,ESP,0,174,68,1990-03-16
2448,SWE,0,183,88,1980-09-09
2456,SWE,0,183,83,1973-07-14
2458,DEU,0,191,78,1980-12-25
2460,AUT,0,172,63,1987-02-17
2464,CAN,0,165,63,1983-09-26
2465,CAN,0,180,68,1983-06-17
2477,SWE,0,172,73,1979-07-29
2480,SWE,0,182,73,1979-08-19
2502,BRA,1,170,58,1990-09-07
2508,CHE,0,172,58,1980-10-22
2510,USA,0,155,68,1981-10-09
2511,POL,0,172,63,1987-03-27
2517,other,0,190,88,1983-07-10
2519,BRA,0,186,73,1988-07-03
2521,CHE,0,179,63,1979-03-12
2529,SWE,0,185,68,1981-01-17
2532,SWE,0,183,73,1990-01-25
2534,CAN,0,168,63,1983-07-20
2536,SWE,0,176,63,1991-04-29
2540,POL,0,177,68,1987-06-17
2541,POL,1,164,48,1987-09-10
2545,SWE,0,172,63,1988-09-27
2546,CHE,0,178,68,1990-02-13
2552,CAN,0,188,93,1990-08-14
2564,SWE,0,178,68,1984-06-06
2579,POL,0,187,73,1987-03-16
2593,USA,0,192,83,1981-05-25
2600,NOR,0,176,68,1977-08-30
2603,USA,0,177,63,1993-03-14
2604,FRA,0,173,63,1986-07-09
2606,ZAF,1,163,58,1983-01-12
2614,DEU,0,195,78,1983-02-14
2621,NLD,0,180,73,1972-10-08
2624,ITA,0,186,73,1978-10-27
2626,ITA,0,171,68,1982-11-09
2630,POL,0,176,63,1969-10-26
2632,DNK,0,185,68,1978-03-15
2639,NLD,0,184,73,1976-08-15
2641,ESP,0,170,58,1976-08-06
2646,ITA,0,174,73,1983-10-08
2648,POL,0,180,68,1983-04-29
2651,POL,0,190,68,1986-04-17
2653,SWE,0,175,63,1989-08-14
2654,SWE,0,182,68,1979-11-28
2656,ITA,0,175,63,1958-11-24
2662,ITA,0,180,73,1973-11-22
2663,USA,0,177,68,1985-04-25
2678,PRT,0,184,73,1982-02-15
